Tanggal Waktu,Pulsa,Volume (L),Pulse per Liter,Liter per Pulse
2025-07-30 14:04:11,10863,1.0,10863.00,0.000092
2025-07-30 14:06:28,7497,1.0,7497.00,0.000133
2025-07-30 14:07:13,8114,1.0,8114.00,0.000123
2025-07-30 14:08:00,6595,1.0,6595.00,0.000152
2025-07-30 14:10:39,5284,1.0,5284.00,0.000189
2025-07-30 14:16:55,1747,0.3,5823.33,0.000172
2025-07-30 14:20:22,1587,0.3,5290.00,0.000189
2025-07-30 14:20:48,1804,0.3,6013.33,0.000166
2025-07-30 14:24:00,1865,0.3,6216.67,0.000161
2025-07-30 14:24:28,2000,0.3,6666.67,0.000150
