Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-31 23:40:57,26.9,88.1
2025-07-31 23:40:59,26.9,88.2
2025-07-31 23:41:00,26.9,88.2
2025-07-31 23:41:02,26.9,88.2
2025-07-31 23:41:04,26.9,88.2
2025-07-31 23:41:05,26.9,88.2
2025-07-31 23:41:07,26.9,88.2
2025-07-31 23:41:08,26.9,88.1
2025-07-31 23:41:10,26.9,88.0
2025-07-31 23:41:11,26.9,88.0
2025-07-31 23:41:13,26.9,87.9
2025-07-31 23:41:14,26.9,87.9
2025-07-31 23:41:16,26.9,87.9
2025-07-31 23:41:17,26.9,87.9
2025-07-31 23:41:19,26.9,87.9
2025-07-31 23:41:21,26.9,87.9
2025-07-31 23:41:22,26.9,88.0
2025-07-31 23:41:24,26.9,88.0
2025-07-31 23:41:25,26.9,88.0
2025-07-31 23:41:27,26.9,88.0
2025-07-31 23:41:28,26.9,88.0
2025-07-31 23:41:30,26.9,88.0
2025-07-31 23:41:31,26.9,87.9
2025-07-31 23:41:33,26.9,87.8
2025-07-31 23:41:35,26.9,87.8
