Waktu,pH,Suhu (C),V_pH,V_Suhu,V_Ref
2025-07-27 12:54:58,5.95,49.6,1.620125,1.791625,3.301
2025-07-27 12:55:00,5.95,49.7,1.62125,1.792375,3.301
2025-07-27 12:55:02,5.95,49.7,1.620625,1.791625,3.3
2025-07-27 12:55:04,5.95,49.6,1.619125,1.791125,3.3
2025-07-27 12:55:06,5.95,49.7,1.620875,1.791875,3.3
2025-07-27 12:55:08,5.95,49.7,1.61975,1.79175,3.3
2025-07-27 12:55:10,5.95,49.7,1.6195,1.792125,3.3
2025-07-27 12:55:12,5.95,49.7,1.61925,1.792375,3.3
2025-07-27 12:55:14,5.95,49.7,1.61925,1.7926250000000001,3.301
2025-07-27 12:55:16,5.95,49.7,1.62,1.7915,3.3
2025-07-27 12:55:18,5.95,49.7,1.61975,1.792875,3.3
2025-07-27 12:55:20,5.95,49.7,1.61975,1.792875,3.298
2025-07-27 12:55:22,5.95,49.7,1.6205,1.792375,3.301
2025-07-27 12:55:24,5.95,49.7,1.619875,1.794,3.301
2025-07-27 12:55:27,5.95,49.6,1.619625,1.791625,3.3
2025-07-27 12:55:29,5.96,49.7,1.621125,1.793,3.3
2025-07-27 12:55:31,5.95,49.7,1.619625,1.792,3.301
2025-07-27 12:55:33,5.95,49.7,1.619375,1.7925,3.301
2025-07-27 12:55:35,5.95,49.7,1.6187500000000001,1.793375,3.301
2025-07-27 12:55:37,5.95,49.7,1.61925,1.791875,3.301
2025-07-27 12:55:39,5.95,49.7,1.62,1.7922500000000001,3.3
2025-07-27 12:55:41,5.95,49.7,1.6203750000000001,1.792375,3.3
2025-07-27 12:55:43,5.95,49.7,1.62,1.7926250000000001,3.3
2025-07-27 12:55:45,5.95,49.7,1.620125,1.792875,3.302
2025-07-27 12:55:47,5.95,49.7,1.619875,1.79325,3.302
